Title,Date
"Ozark: Season 1: Tonight We Improvise","14/07/2022"
"Ozark: Season 1: My Dripping Sleep","14/07/2022"
"The Dictator","14/07/2022"
"Chup Chup Ke","14/07/2022"
"Main, Meri Patni Aur Woh","14/07/2022"
"Money Heist: Part 1: Episode 5","14/07/2022"
"Money Heist: Part 1: Episode 4","14/07/2022"
"Money Heist: Part 1: Episode 3","14/07/2022"
"Gone Girl","14/07/2022"
"Ozark: Season 1: Blue Cat","13/07/2022"
"Ozark: Season 1: Sugarwood","13/07/2022"
"Circle","13/07/2022"
"Do Dooni Chaar","13/07/2022"
"Orphan","12/07/2022"
"Breaking Bad: Season 4: Bullet Points","12/07/2022"
"Breaking Bad: Season 4: Open House","10/07/2022"
"Vikings: Season 1: All Change","10/07/2022"
"Kiss the Girls","10/07/2022"
"The Umbrella Academy: Season 3: Oblivion","10/07/2022"
"The Umbrella Academy: Season 3: Seven Bells","10/07/2022"
"The Umbrella Academy: Season 1: We Only See Each Other at Weddings and Funerals","10/07/2022"
"The Umbrella Academy: Season 3: Wedding at the End of the World","10/07/2022"
"The Umbrella Academy: Season 3: Auf Wiedersehen","10/07/2022"
"The Boy Next Door","10/07/2022"
"The Umbrella Academy: Season 3: Marigold","09/07/2022"
"Case 39","09/07/2022"
"Holidate","07/07/2022"
"Jamtara - Sabka Number Ayega: Season 1: Episode 10","07/07/2022"
"Stranger Things: Stranger Things 4: Chapter Nine: The Piggyback","06/07/2022"
"Judwaa 2","05/07/2022"
"Kyo Kii... Main Jhuth Nahin Bolta","05/07/2022"
"Zindagi Na Milegi Dobara","05/07/2022"
"Badla","05/07/2022"
"Ram Prasad Ki Tehrvi","05/07/2022"
"Mohenjo Daro","05/07/2022"
"Bean: The Ultimate Disaster Movie","05/07/2022"
"Dhoondte Reh Jaoge","04/07/2022"
"Billu","04/07/2022"
"Major (Hindi)","04/07/2022"
"Stranger Things: Stranger Things 4: Chapter Eight: Papa","03/07/2022"
"Chopsticks","03/07/2022"
"Sooryavanshi","03/07/2022"
"The Hunt","03/07/2022"
"Constantine","03/07/2022"
"Intrusion","02/07/2022"
"Anek","02/07/2022"
"The Father Who Moves Mountains","01/07/2022"
"The Umbrella Academy: Season 3: Kindest Cut","01/07/2022"
"The Umbrella Academy: Season 3: Kugelblitz","01/07/2022"
"Man Vs Bee: Chapter 9","30/06/2022"
"Man Vs Bee: Chapter 8","30/06/2022"
"Man Vs Bee: Chapter 7","30/06/2022"
"Man Vs Bee: Chapter 6","30/06/2022"
"Man Vs Bee: Chapter 5","30/06/2022"
"Man Vs Bee: Chapter 1","30/06/2022"
"Man Vs Bee: Chapter 4","30/06/2022"
"Man Vs Bee: Chapter 3","30/06/2022"
"Man Vs Bee: Chapter 2","30/06/2022"
"The Umbrella Academy: Season 3: Pocket Full of Lightning","29/06/2022"
"Bhool Bhulaiyaa 2","28/06/2022"
"The Umbrella Academy: Season 3: World's Biggest Ball of Twine","28/06/2022"
"The Umbrella Academy: Season 3: Meet the Family","28/06/2022"
"Control Z: Season 1: Public Enemy","27/06/2022"
"Control Z: Season 1: Control Z","27/06/2022"
"Control Z: Season 1: How Well Do You Really Know Javier?","27/06/2022"
"Control Z: Season 1: Face to Face","26/06/2022"
"Control Z: Season 1: Night School","26/06/2022"
"TE3N","26/06/2022"
"Gangs of Wasseypur: Part 2","26/06/2022"
"Gangs of Wasseypur: Part 1","26/06/2022"
"Sardar Ka Grandson","26/06/2022"
"Pagglait","26/06/2022"
"Fukrey","26/06/2022"
"Control Z: Season 1: Idiots","25/06/2022"
"Control Z: Season 1: Victims","24/06/2022"
"Control Z: Season 1: Birthday Girl","24/06/2022"
"Sex Education: Season 3: Episode 3","24/06/2022"
"Breaking Bad: Season 4: Thirty-Eight Snub","24/06/2022"
"Suits: Season 1: Pilot Part 1 & 2","24/06/2022"
"Breaking Bad: Season 4: Box Cutter","23/06/2022"
"Breaking Bad: Season 3: Full Measure","23/06/2022"
"Baby Dolls","23/06/2022"
"Breaking Bad: Season 3: Half Measures","23/06/2022"
"Breaking Bad: Season 3: Abiquiu","23/06/2022"
"Breaking Bad: Season 3: Fly","22/06/2022"
"Breaking Bad: Season 3: Kafkaesque","22/06/2022"
"Searching","21/06/2022"
"Life in a ... Metro","21/06/2022"
"Soorma","21/06/2022"
"My God!! Father","21/06/2022"
"Breaking Bad: Season 3: I See You","20/06/2022"
"Breaking Bad: Season 3: One Minute","20/06/2022"
"Breaking Bad: Season 3: Sunset","20/06/2022"
"She: Season 2: The Switch","20/06/2022"
"Breaking Bad: Season 3: Mas","19/06/2022"
"She: Season 2: Dark Seduction","19/06/2022"
"Breaking Bad: Season 3: Green Light","19/06/2022"
"She: Season 2: Karma Cola","19/06/2022"
"She: Season 2: Samsara","19/06/2022"
"Michael","18/06/2022"
"Gurgaon","18/06/2022"
"Kapil Sharma: I'm Not Done Yet","18/06/2022"
"Dharam Sankat Mein","18/06/2022"
"Toolsidas Junior","18/06/2022"
"Dhan Dhana Dhan Goal","18/06/2022"
"Mowgli: Legend of the Jungle","18/06/2022"
"Badhaai Do","18/06/2022"
"Breaking Bad: Season 3: I.F.T.","18/06/2022"
"Breaking Bad: Season 3: Caballo Sin Nombre","18/06/2022"
"Breaking Bad: Season 3: No Más","18/06/2022"
"She: Season 2: The Devil's Double","18/06/2022"
"She: Season 2: The Tightrope","18/06/2022"
"Breaking Bad: Season 2: ABQ","16/06/2022"
"Breaking Bad: Season 2: Phoenix","16/06/2022"
"Breaking Bad: Season 2: Mandala","16/06/2022"
"Jersey","12/06/2022"
"Hamid","12/06/2022"
"Raman Raghav 2.0","12/06/2022"
"Sex Education: Season 3: Episode 2","12/06/2022"
"Sex Education: Season 2: Episode 7","11/06/2022"
"Sex Education: Season 2: Episode 6","11/06/2022"
"Vikings: Season 2: Answers in Blood","11/06/2022"
"Vikings: Season 2: Eye for an Eye","11/06/2022"
"Vikings: Season 2: Treachery","11/06/2022"
"The Accountant","10/06/2022"
"The Invisible Man","09/06/2022"
"Interceptor","09/06/2022"
"Stranger Things: Stranger Things 4: Chapter Seven: The Massacre at Hawkins Lab","09/06/2022"
"RRR (Hindi)","07/06/2022"
"Stranger Things: Stranger Things 4: Chapter Four: Dear Billy","07/06/2022"
"Stranger Things: Stranger Things 4: Chapter Three: The Monster and the Superhero","07/06/2022"
"Everything Sucks!: Plutonium","05/06/2022"
"Stranger Things: Stranger Things 4: Chapter One: The Hellfire Club","01/06/2022"
"Stranger Things: Stranger Things 4: Chapter Six: The Dive","01/06/2022"
"Stranger Things: Stranger Things 4: Chapter Five: The Nina Project","31/05/2022"
"Stranger Things: Stranger Things 4: Chapter Two: Vecna's Curse","29/05/2022"
"Elite: Season 5: Your Side of the World and Mine","29/05/2022"
"Elite: Season 5: Toxic","29/05/2022"
"Elite: Season 5: Can't Buy My Love","28/05/2022"
"Elite: Season 5: Please, Tell the Truth","28/05/2022"
"Elite: Season 5: The Body","27/05/2022"
"Elite: Season 5: Tie Me Up","26/05/2022"
"Elite: Season 5: Anything Goes","26/05/2022"
"Elite: Season 5: I Killed Him","26/05/2022"
"Elite: Season 4: Before I Go (Part II)","22/05/2022"
"Elite: Season 4: Before I Go (Part I)","22/05/2022"
"Elite: Season 4: I Love You All Wrong","21/05/2022"
"Elite: Season 4: Reintegration","21/05/2022"
"Elite: Season 4: I'm a...","21/05/2022"
"Elite: Season 4: When Lies Dance with Temptation","21/05/2022"
"The Takedown","13/05/2022"
"Elite: Season 4: Five Seconds","12/05/2022"
"Elite: Season 4: The New Order","12/05/2022"
"Udta Punjab","10/05/2022"
"Raajneeti","10/05/2022"
"Elite: Season 3: Polo","10/05/2022"
"Elite: Season 3: Nadia and Omar","10/05/2022"
"Elite: Season 3: Rebeka","10/05/2022"
"Elite: Season 3: Ander","09/05/2022"
"Elite: Season 3: Lu","09/05/2022"
"Pyaar Ka Punchnama","08/05/2022"
"Elite: Season 3: Cayetana and Valerio","08/05/2022"
"Elite: Season 3: Samuel and Guzmán","08/05/2022"
"Sex/Life: The Wives Are in Connecticut","07/05/2022"
"The Marked Heart: Season 1: Happiness Isn’t Forever","07/05/2022"
"Thar","07/05/2022"
"Kaminey","07/05/2022"
"Mumbai Meri Jaan","07/05/2022"
"Elite: Season 3: Carla","07/05/2022"
"Elite: Season 2: 0 hours missing","07/05/2022"
"Elite: Season 2: 84 hours missing","07/05/2022"
"Elite: Season 2: 66 hours missing","07/05/2022"
"Elite: Season 2: 63 hours missing","06/05/2022"
"Elite: Season 2: 59 hours missing","06/05/2022"
"Elite: Season 2: 36 hours missing","06/05/2022"
"Elite: Season 2: 34 hours missing","06/05/2022"
"Elite: Season 2: 20 hours missing","06/05/2022"
"The Exorcist","06/05/2022"
"Highway","05/05/2022"
"Thank You","05/05/2022"
"Elite: Season 1: Assilah","04/05/2022"
"Elite: Season 1: Everything Explodes","04/05/2022"
"Elite: Season 1: Everything Will Be Okay","04/05/2022"
"Elite: Season 1: Everyone Lies","03/05/2022"
"Elite: Season 1: Love is a Drug","03/05/2022"
"Elite: Season 1: Saturday Night","03/05/2022"
"Elite: Season 1: Desire","03/05/2022"
"Elite: Season 1: Welcome","02/05/2022"
"Little Evil","02/05/2022"
"Ozark: Season 4: A Hard Way to Go","02/05/2022"
"Ozark: Season 4: Mud","01/05/2022"
"Ozark: Season 4: Trouble The Water","01/05/2022"
"Ozark: Season 4: Pound of Flesh and Still Kickin'","01/05/2022"
"Ozark: Season 4: You're the Boss","01/05/2022"
"Ozark: Season 4: Pick a God and Pray","30/04/2022"
"Ozark: Season 4: The Cousin of Death","30/04/2022"
"Gangubai Kathiawadi","29/04/2022"
"The Green Mile","28/04/2022"
"Mai: A Mother's Rage: Episode 6","27/04/2022"
"Mai: A Mother's Rage: Episode 5","27/04/2022"
"Mai: A Mother's Rage: Episode 4","27/04/2022"
"Masaan","27/04/2022"
"Barfi!","26/04/2022"
"Hattrick","26/04/2022"
"Marriage Palace","26/04/2022"
"Gori Tere Pyaar Mein","26/04/2022"
"Toilet: Ek Prem Katha","26/04/2022"
"Mai: A Mother's Rage: Episode 3","26/04/2022"
"Choose or Die","26/04/2022"
"Mai: A Mother's Rage: Episode 2","23/04/2022"
"Mai: A Mother's Rage: Episode 1","22/04/2022"
"Orange Is the New Black: Season 1: Moscow Mule","20/04/2022"
"Orange Is the New Black: Season 1: Blood Donut","20/04/2022"
"Orange Is the New Black: Season 1: WAC Pack","18/04/2022"
"Ouija: Origin of Evil","17/04/2022"
"Orange Is the New Black: Season 1: The Chickening","17/04/2022"
"Orange Is the New Black: Season 1: Imaginary Enemies","17/04/2022"
"Orange Is the New Black: Season 1: Lesbian Request Denied","16/04/2022"
"Seven","15/04/2022"
"Furioza","11/04/2022"
"Orange Is the New Black: Season 1: Tit Punch","11/04/2022"
"Orange Is the New Black: Season 1: I Wasn't Ready","10/04/2022"
"Lagaan","09/04/2022"
"Minnal Murali","09/04/2022"
"Locke & Key: Season 2: The Premiere","09/04/2022"
"Selection Day: Episode 1","09/04/2022"
"Brooklyn Nine-Nine: Season 1: Pilot","09/04/2022"
"The Blacklist: Season 1: Pilot","09/04/2022"
"Cobalt Blue","09/04/2022"
"Typewriter: Chapter 1: Four Kids and a Dog","09/04/2022"
"The Adam Project","09/04/2022"
"Tenet","09/04/2022"
"Luv Shuv Tey Chicken Khurana","09/04/2022"
"Dasvi","08/04/2022"
"Guilty","01/04/2022"
"Haider","30/03/2022"
"Peaky Blinders: Season 2: Episode 4","28/03/2022"
"Don't Breathe","28/03/2022"
"3 Idiots","27/03/2022"
"Tum Milo Toh Sahi","25/03/2022"
"Chaman Bahaar","25/03/2022"
"Ishqiya","19/03/2022"
"Insidious: Chapter 2","13/03/2022"
"Let Me In","09/03/2022"
"Roohi","06/03/2022"
"The Zoya Factor","06/03/2022"
"Ek Ladki Ko Dekha Toh Aisa Laga","06/03/2022"
"Indoo Ki Jawani","06/03/2022"
"Love Per Square Foot","03/03/2022"
"Qarib Qarib Singlle","02/03/2022"
"Kyaa Kool Hai Hum","02/03/2022"
"Stree","02/03/2022"
"Delhi Belly","02/03/2022"
"Neighbors","01/03/2022"
"Dedh Ishqiya","01/03/2022"
"House Arrest","01/03/2022"
"Professor","01/03/2022"
"Dolittle","01/03/2022"
"Doctor Stranger: Episode 1","01/03/2022"
"Dhobi Ghat (Mumbai Diaries)","27/02/2022"
"Bobby Jasoos","27/02/2022"
"The Call","25/02/2022"
"All of Us Are Dead: Season 1: Episode 1","25/02/2022"
"C Kkompany","25/02/2022"
"Saheb Biwi Aur Gangster Returns","25/02/2022"
"This Is the End","24/02/2022"
"Good Boys","24/02/2022"
"Kapoor & Sons","24/02/2022"
"Generation Iron 3","24/02/2022"
"Humpty Sharma Ki Dulhania","24/02/2022"
"Vivah","24/02/2022"
"Dostana","24/02/2022"
"Jai Mummy Di","23/02/2022"
"Bangistan","22/02/2022"
"Luka Chuppi","22/02/2022"
"Coach Carter","22/02/2022"
"Bareilly Ki Barfi","21/02/2022"
"Cast Away","20/02/2022"
"Taxi No. 9211","19/02/2022"
"Chandigarh Kare Aashiqui","18/02/2022"
"Game","18/02/2022"
"Escape Room: Tournament Of Champions","18/02/2022"
"Better Call Saul: Season 1: Uno","18/02/2022"
"Gangaajal","13/02/2022"
"Baadshaho","13/02/2022"
"Oye Lucky! Lucky Oye!","13/02/2022"
"Ozark: Season 4: Sanctified","13/02/2022"
"Boss","12/02/2022"
"Ozark: Season 4: Sangre Sobre Todo","11/02/2022"
"Ozark: Season 4: Ellie","11/02/2022"
"Ozark: Season 4: Ace Deuce","10/02/2022"
"Ajab Prem Ki Ghazab Kahani","09/02/2022"
"Ozark: Season 4: City On The Make","09/02/2022"
"Ungli","09/02/2022"
"Raja Natwarlal","08/02/2022"
"Rakkhosh","08/02/2022"
"Looop Lapeta","08/02/2022"
"Ozark: Season 4: Let The Great World Spin","08/02/2022"
"Ozark: Season 4: The Beginning of the End","08/02/2022"
"One Day: Justice Delivered","07/02/2022"
"Kahaani","07/02/2022"
"Andhadhun","05/02/2022"
"House of Secrets: The Burari Deaths: Limited Series: Beyond 11","05/02/2022"
"Vikings: Season 1: A King's Ransom","03/02/2022"
"House of Secrets: The Burari Deaths: Limited Series: 11 Diaries","02/02/2022"
"House of Secrets: The Burari Deaths: Limited Series: 11 Bodies","01/02/2022"
"Yeh Kaali Kaali Ankhein: Season 1: The Crying Game","29/01/2022"
"Mimi","29/01/2022"
"Yeh Kaali Kaali Ankhein: Season 1: Seedha Sa Plan","29/01/2022"
"Yeh Kaali Kaali Ankhein: Season 1: Jack and Jill","29/01/2022"
"Yeh Kaali Kaali Ankhein: Season 1: Do You Love Me?","28/01/2022"
"Yeh Kaali Kaali Ankhein: Season 1: 4 Goliyaan","28/01/2022"
"Yeh Kaali Kaali Ankhein: Season 1: Bandook Aur Hawaii Chappal","28/01/2022"
"Yeh Kaali Kaali Ankhein: Season 1: Band Toh Bajega","28/01/2022"
"Yeh Kaali Kaali Ankhein: Season 1: Teri Baari Hai","28/01/2022"
"Class of '83","27/01/2022"
"Ludo","22/01/2022"
"Ocean's Eleven","20/01/2022"
"Terminator 2: Judgment Day","16/01/2022"
"Tamasha","15/01/2022"
"Night Teeth","14/01/2022"
"Anthony Kaun Hai?","14/01/2022"
"Bad Trip","14/01/2022"
"Andaz Apna Apna","13/01/2022"
"Joker","13/01/2022"
"Golmaal Returns","13/01/2022"
"Bad Boy Billionaires: India: The King of Good Times","13/01/2022"
"Kismat Konnection","13/01/2022"
"7 Prisoners","13/01/2022"
"The Order: Season 1: Finals: Part 2","12/01/2022"
"The Order: Season 1: Finals: Part 1","12/01/2022"
"The Order: Season 1: Undeclared: Part 2","11/01/2022"
"Superbad","11/01/2022"
"The Order: Season 1: Undeclared: Part 1","10/01/2022"
"The Order: Season 1: Homecoming: Part 2","10/01/2022"
"The Order: Season 1: Homecoming: Part 1","09/01/2022"
"Manifest: Season 1: Pilot","09/01/2022"
"A Quiet Place","08/01/2022"
"Cobra Kai: Season 4: The Rise","08/01/2022"
"Saawan","08/01/2022"
"Ray: Forget Me Not","08/01/2022"
"Cobra Kai: Season 4: The Fall","08/01/2022"
"Cobra Kai: Season 4: Party Time","08/01/2022"
"Cobra Kai: Season 4: Minefields","07/01/2022"
"Cobra Kai: Season 4: Kicks Get Chicks","07/01/2022"
"Oh My God","07/01/2022"
"Cobra Kai: Season 4: Match Point","07/01/2022"
"The Silent Sea: Balhae Lunar Research Station","07/01/2022"
"Cobra Kai: Season 4: Bicephaly","07/01/2022"
"Cobra Kai: Season 4: Then Learn Fly","07/01/2022"
"Cobra Kai: Season 4: First Learn Stand","07/01/2022"
"Titans: Season 1: Titans","07/01/2022"
"Cobra Kai: Season 4: Let's Begin","06/01/2022"
"Secret Superstar","05/01/2022"
"Johnny English","05/01/2022"
"Johnny English Reborn","05/01/2022"
"Motichoor Chaknachoor","05/01/2022"
"Blood Diamond","05/01/2022"
"Manto","04/01/2022"
"The Order: Season 1: Introduction to Ethics: Part 2","04/01/2022"
"The Order: Season 1: Introduction to Ethics: Part 1","04/01/2022"
"Well Done Abba","03/01/2022"
"The Order: Season 1: Hell Week: Part 2","02/01/2022"
"Raat Akeli Hai","02/01/2022"
"Poster Boys","02/01/2022"
"Haraamkhor","02/01/2022"
"Sacred Games: Season 2: Radcliffe","01/01/2022"
"Sacred Games: Season 2: Torino","01/01/2022"
"Apaharan","31/12/2021"
"Sacred Games: Season 2: Azrael","31/12/2021"
"Sacred Games: Season 2: Vikarna","30/12/2021"
"Sacred Games: Season 2: Bardo","30/12/2021"
"Sacred Games: Season 2: Apasmara","30/12/2021"
"The Order: Season 1: Hell Week: Part 1","30/12/2021"
"Tower Heist","28/12/2021"
"Sacred Games: Season 2: Siduri","27/12/2021"
"Special 26","27/12/2021"
"Sacred Games: Season 2: Matsya","27/12/2021"
"Sacred Games: Season 1: Yayati","27/12/2021"
"Sacred Games: Season 1: Rudra","27/12/2021"
"Aranyak: Episode 8","27/12/2021"
"Aranyak: Episode 7","27/12/2021"
"Aranyak: Episode 6","27/12/2021"
"Aranyak: Episode 5","27/12/2021"
"Aranyak: Episode 4","27/12/2021"
"Aranyak: Episode 3","27/12/2021"
"Aranyak: Episode 2","27/12/2021"
"Aranyak: Episode 1","26/12/2021"
"Bhaji In Problem","25/12/2021"
"Kyaa Kool Hain Hum 3","25/12/2021"
"Gandu","24/12/2021"
"She: Season 1: Devil's Share","22/12/2021"
"She: Season 1: The Promise","22/12/2021"
"She: Season 1: It's Time","22/12/2021"
"She: Season 1: Night Walk","21/12/2021"
"Laatu","21/12/2021"
"She: Season 1: The Pawn's Move","21/12/2021"
"She: Season 1: The Proposal","21/12/2021"
"She: Season 1: The Pickup","21/12/2021"
"Sacred Games: Season 1: Pretakalpa","20/12/2021"
"Sacred Games: Season 1: Sarama","20/12/2021"
"Sacred Games: Season 1: Brahmahatya","18/12/2021"
"Sacred Games: Season 1: Atapi Vatapi","18/12/2021"
"Sacred Games: Season 1: Halahala ","18/12/2021"
"Sacred Games: Season 1: Ashwathama ","18/12/2021"
"Money Heist: Part 1: Episode 1","18/12/2021"
"Made in China","18/12/2021"
"Serious Men","18/12/2021"
"Mr Bean's Holiday","18/12/2021"
"Rajma Chawal","17/12/2021"
