Title,Date
"Anek","09/07/2022"
"Man Vs Bee: Chapter 1","09/07/2022"
"Bhool Bhulaiyaa 2","01/07/2022"
"She: Season 2: The Switch","28/06/2022"
"She: Season 2: Dark Seduction","28/06/2022"
"She: Season 1: The Pickup","28/06/2022"
"She: Season 2: Karma Cola","28/06/2022"
"She: Season 2: Samsara","28/06/2022"
"She: Season 2: The Devil's Double","28/06/2022"
"She: Season 2: The Tightrope","28/06/2022"
"She: Season 2: The Test","28/06/2022"
"She: Season 1: Devil's Share","28/06/2022"
"She: Season 1: The Promise","19/06/2022"
"She: Season 1: It's Time","19/06/2022"
"She: Season 1: Night Walk","19/06/2022"
"She: Season 1: The Pawn's Move","19/06/2022"
"She: Season 1: The Proposal","18/06/2022"
"Jana Gana Mana","18/06/2022"
"CBI 5: The Brain","18/06/2022"
"Men in Black: International","11/06/2022"
"Thar","04/06/2022"
"The Grudge","04/06/2022"
"365 Days: This Day","04/06/2022"
"Gone Girl","29/05/2022"
"Jersey","25/05/2022"
"Gangubai Kathiawadi","22/05/2022"
"RRR (Hindi)","21/05/2022"
"Peaky Blinders: Season 5: Mr Jones","27/03/2022"
"Peaky Blinders: Season 5: The Shock","27/03/2022"
"Peaky Blinders: Season 5: The Loop","27/03/2022"
"Peaky Blinders: Season 5: Strategy","26/03/2022"
"Peaky Blinders: Season 5: Black Cats","26/03/2022"
"Peaky Blinders: Season 5: Black Tuesday","24/03/2022"
"The Adam Project","18/03/2022"
"Badhaai Do","17/03/2022"
"Shutter Island","14/03/2022"
"Peaky Blinders: Season 4: The Company","13/03/2022"
"Peaky Blinders: Season 4: The Duel","12/03/2022"
"Peaky Blinders: Season 4: Dangerous","12/03/2022"
"Peaky Blinders: Season 4: Blackbird","12/03/2022"
"Peaky Blinders: Season 4: Heathens","12/03/2022"
"Peaky Blinders: Season 4: The Noose","12/03/2022"
"Peaky Blinders: Season 3: Episode 6","12/03/2022"
"Peaky Blinders: Season 3: Episode 5","12/03/2022"
"Peaky Blinders: Season 3: Episode 4","11/03/2022"
"Peaky Blinders: Season 3: Episode 3","10/03/2022"
"Peaky Blinders: Season 3: Episode 2","10/03/2022"
"The Umbrella Academy: Season 1: We Only See Each Other at Weddings and Funerals","10/03/2022"
"Locke & Key: Season 2: Cliffhanger","04/03/2022"
"Locke & Key: Season 2: Alpha & Omega","04/03/2022"
"Locke & Key: Season 2: Irons in the Fire","04/03/2022"
"Locke & Key: Season 2: Best Laid Plans","04/03/2022"
"Locke & Key: Season 2: The Maze","04/03/2022"
"Locke & Key: Season 2: Past is Prologue","04/03/2022"
"Locke & Key: Season 2: Forget Me Not","04/03/2022"
"Locke & Key: Season 2: Small World","04/03/2022"
"Locke & Key: Season 2: The Head and the Heart","04/03/2022"
"Locke & Key: Season 2: The Premiere","03/03/2022"
"Locke & Key: Season 1: Crown of Shadows","02/03/2022"
"Locke & Key: Season 1: Echoes","02/03/2022"
"Locke & Key: Season 1: Ray of F**king Sunshine","02/03/2022"
"Locke & Key: Season 1: Dissection","01/03/2022"
"Locke & Key: Season 1: The Black Door","01/03/2022"
"Locke & Key: Season 1: Family Tree","01/03/2022"
"Locke & Key: Season 1: The Keepers of the Keys","01/03/2022"
"Locke & Key: Season 1: Head Games","01/03/2022"
"Locke & Key: Season 1: Trapper / Keeper","01/03/2022"
"Locke & Key: Season 1: Welcome to Matheson","01/03/2022"
"The Babysitter: Killer Queen","24/02/2022"
"Spider-Man: Far from Home","20/02/2022"
"Spider-Man: Homecoming","18/02/2022"
"The Incredible Hulk","08/02/2022"
"Sacred Games: Season 2: Radcliffe","31/01/2022"
"Sacred Games: Season 2: Torino","31/01/2022"
"The Last Airbender","24/01/2022"
"Sacred Games: Season 2: Azrael","24/01/2022"
"Sacred Games: Season 2: Vikarna","24/01/2022"
"Sacred Games: Season 2: Bardo","24/01/2022"
"Sacred Games: Season 2: Apasmara","22/01/2022"
"Sacred Games: Season 2: Siduri","22/01/2022"
"Sacred Games: Season 2: Matsya","22/01/2022"
"Sacred Games: Season 1: Sarama","22/01/2022"
"Sacred Games: Season 1: Yayati","21/01/2022"
"Sacred Games: Season 1: Rudra","21/01/2022"
"Sacred Games: Season 1: Pretakalpa","21/01/2022"
"Sacred Games: Season 1: Brahmahatya","20/01/2022"
"Sacred Games: Season 1: Atapi Vatapi","20/01/2022"
"Sacred Games: Season 1: Halahala ","20/01/2022"
"Sacred Games: Season 1: Ashwathama ","20/01/2022"
"V Wars: Down with the Sickness","20/01/2022"
"Ragnarok: Season 1: New Boy","20/01/2022"
"The Originals: Season 5: When the Saints Go Marching In","19/01/2022"
"The Originals: Season 5: The Tale of Two Wolves","19/01/2022"
"The Originals: Season 5: 'Til the Day I Die","19/01/2022"
"The Originals: Season 5: There in the Disappearing Light","19/01/2022"
"The Originals: Season 5: We Have Not Long to Love","19/01/2022"
"The Originals: Season 5: The Kindness of Strangers","19/01/2022"
"The Originals: Season 5: God's Gonna Trouble the Water","19/01/2022"
"The Originals: Season 5: What, Will, I, Have, Left","19/01/2022"
"The Originals: Season 5: Don't It Just Break Your Heart","19/01/2022"
"The Originals: Season 5: Between the Devil and the Deep Blue Sea","17/01/2022"
"The Originals: Season 5: Ne Me Quitte Pas","17/01/2022"
"The Originals: Season 5: One Wrong Turn on Bourbon","17/01/2022"
"The Originals: Season 5: Where You Left Your Heart","17/01/2022"
"The Originals: Season 4: The Feast of All Sinners","17/01/2022"
"The Originals: Season 4: Voodoo Child","17/01/2022"
"The Originals: Season 4: A Spirit Here That Won't Be Broken","17/01/2022"
"The Originals: Season 4: Phantomesque","17/01/2022"
"The Originals: Season 4: Queen Death","16/01/2022"
"The Originals: Season 4: Voodoo in My Blood","16/01/2022"
"The Originals: Season 4: High Water and a Devil's Daughter","16/01/2022"
"The Originals: Season 4: Bag of Cobras","16/01/2022"
"The Originals: Season 4: I Hear You Knocking","16/01/2022"
"The Originals: Season 4: Keepers of the House","16/01/2022"
"The Originals: Season 4: Haunter of Ruins","16/01/2022"
"The Originals: Season 4: No Quarter","16/01/2022"
"The Originals: Season 4: Gather Up the Killers","16/01/2022"
"The Originals: Season 3: The Bloody Crown","16/01/2022"
"The Originals: Season 3: Give 'Em Hell Kid","16/01/2022"
"The Originals: Season 3: Where Nothing Stays Buried","16/01/2022"
"The Originals: Season 3: No More Heartbreaks","15/01/2022"
"The Originals: Season 3: The Devil Comes Here and Sighs","15/01/2022"
"The Originals: Season 3: Behind the Black Horizon","15/01/2022"
"The Originals: Season 3: Alone with Everybody","15/01/2022"
"The Originals: Season 3: An Old Friend Calls","14/01/2022"
"The Originals: Season 3: A Streetcar Named Desire","14/01/2022"
"The Originals: Season 3: Heart Shaped Box","14/01/2022"
"The Originals: Season 3: Dead Angels","14/01/2022"
"The Originals: Season 3: Wild at Heart","11/01/2022"
"The Originals: Season 3: A Ghost Along the Mississippi","11/01/2022"
"The Originals: Season 3: Savior","11/01/2022"
"The Originals: Season 3: The Other Girl in New Orleans","11/01/2022"
"The Originals: Season 3: Out of the Easy","11/01/2022"
"The Originals: Season 3: Beautiful Mistake","11/01/2022"
"The Originals: Season 3: The Axeman's Letter","11/01/2022"
"The Originals: Season 3: A Walk on the Wild Side","10/01/2022"
"The Originals: Season 3: I'll See You in Hell or New Orleans","10/01/2022"
"The Originals: Season 3: You Hung the Moon","10/01/2022"
"The Originals: Season 3: For the Next Millennium","10/01/2022"
"The Originals: Season 2: Ashes to Ashes","10/01/2022"
"The Originals: Season 2: Fire with Fire","10/01/2022"
"The Originals: Season 2: City Beneath the Sea","09/01/2022"
"The Originals: Season 2: When the Levee Breaks","09/01/2022"
"The Originals: Season 2: Night Has a Thousand Eyes","09/01/2022"
"The Originals: Season 2: Exquisite Corpse","09/01/2022"
"The Originals: Season 2: Save My Soul","09/01/2022"
"The Originals: Season 2: They All Asked for You","09/01/2022"
"Richie Rich","09/01/2022"
"The Originals: Season 2: I Love You, Goodbye","08/01/2022"
"The Originals: Season 2: The Devil Is Damned","08/01/2022"
"The Originals: Season 2: Sanctuary","08/01/2022"
"The Originals: Season 2: Brotherhood of the Damned","08/01/2022"
"The Originals: Season 2: Gonna Set Your Flag on Fire","08/01/2022"
"The Originals: Season 2: The Map of Moments","08/01/2022"
"The Originals: Season 2: The Brothers That Care Forgot","08/01/2022"
"The Originals: Season 2: Chasing the Devil's Tail","08/01/2022"
"The Originals: Season 2: Wheel Inside the Wheel","08/01/2022"
"The Originals: Season 2: Red Door","08/01/2022"
"The Originals: Season 2: Live and Let Die","08/01/2022"
"The Originals: Season 2: Every Mother's Son","08/01/2022"
"The Originals: Season 2: Alive and Kicking","07/01/2022"
"The Originals: Season 2: Rebirth","07/01/2022"
"The Originals: Season 1: From a Cradle to a Grave","06/01/2022"
"The Originals: Season 1: The Battle of New Orleans","06/01/2022"
"The Originals: Season 1: Farewell to Storyville","06/01/2022"
"The Originals: Season 1: Le Grand Guignol","06/01/2022"
"The Originals: Season 1: Crescent City","06/01/2022"
"The Originals: Season 1: Dance Back from the Grave","06/01/2022"
"The Originals: Season 1: Après Moi, Le Déluge","06/01/2022"
"The Originals: Season 1: The Casket Girls","06/01/2022"
"The Originals: Season 1: Sinners and Saints","06/01/2022"
"The Originals: Season 1: Girl in New Orleans","06/01/2022"
"The Originals: Season 1: Tangled Up in Blue","06/01/2022"
"The Originals: Season 1: House of the Rising Son","06/01/2022"
"The Originals: Season 1: Always and Forever","06/01/2022"
"Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn)","04/01/2022"
"Night Teeth","02/01/2022"
"Resurrection: Ertugrul: Season 1: Episode 1","29/12/2021"
"The Sleepover","29/12/2021"
"Stranger Things: Chapter One: The Vanishing of Will Byers","29/12/2021"
"Secret Superstar","28/12/2021"
"Don't Breathe 2","25/12/2021"
"American Pie Presents: The Naked Mile","25/12/2021"
"Don't Breathe","25/12/2021"
"The Witcher: Season 1: The End’s Beginning","24/12/2021"
"Central Intelligence","22/12/2021"
"The Witcher: Season 2: Family","21/12/2021"
"The Witcher: Season 2: Voleth Meir","21/12/2021"
"The Witcher: Season 2: Dear Friend...","21/12/2021"
"The Witcher: Season 2: Turn Your Back","21/12/2021"
"The Witcher: Season 2: Redanian Intelligence","20/12/2021"
"The Witcher: Season 2: What Is Lost","20/12/2021"
"The Witcher: Season 2: Kaer Morhen","20/12/2021"
"The Witcher: Season 2: A Grain of Truth","20/12/2021"
"Kurup (Hindi)","20/12/2021"
"The Witcher: Season 1: Much More","19/12/2021"
"The Witcher: Season 1: Before a Fall","19/12/2021"
"The Witcher: Season 1: Rare Species","19/12/2021"
"The Witcher: Season 1: Bottled Appetites","19/12/2021"
